"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2713","should login successfully with valid credentials","webkit","2026-04-13","passed","2026-04-13","Login functionality","login.spec.ts","",""
"","1113","get started link","firefox","2026-04-13","passed","2026-04-13","","example.spec.ts","",""
"","779","get started link","chromium","2026-04-13","passed","2026-04-13","","example.spec.ts","",""
"","495","has title","chromium","2026-04-13","passed","2026-04-13","","example.spec.ts","",""
"","2743","should login successfully with valid credentials","firefox","2026-04-13","passed","2026-04-13","Login functionality","login.spec.ts","",""
"","3765","has title","webkit","2026-04-13","passed","2026-04-13","","example.spec.ts","",""
"","3246","should login successfully with valid credentials","chromium","2026-04-13","passed","2026-04-13","Login functionality","login.spec.ts","",""
"","2218","get started link","webkit","2026-04-13","passed","2026-04-13","","example.spec.ts","",""
"","1395","has title","firefox","2026-04-13","passed","2026-04-13","","example.spec.ts","",""
